Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
1990-01-02 00:00:00-05:00;4,47;4,72;4,47;4,66;730800;0,0;0,0
1990-01-03 00:00:00-05:00;4,69;4,69;4,58;4,61;302000;0,0;0,0
1990-01-04 00:00:00-05:00;4,58;4,64;4,55;4,58;317600;0,0;0,0
1990-01-05 00:00:00-05:00;4,61;4,66;4,61;4,66;292000;0,0;0,0
1990-01-08 00:00:00-05:00;4,65;4,73;4,62;4,7;191200;0,0125;0,0
1990-01-09 00:00:00-05:00;4,73;4,78;4,62;4,65;241600;0,0;0,0
1990-01-10 00:00:00-05:00;4,62;4,67;4,46;4,54;336400;0,0;0,0
1990-01-11 00:00:00-05:00;4,54;4,54;4,4;4,43;480400;0,0;0,0
1990-01-12 00:00:00-05:00;4,4;4,43;4,21;4,35;506800;0,0;0,0
1990-01-15 00:00:00-05:00;4,32;4,48;4,32;4,46;212400;0,0;0,0
1990-01-16 00:00:00-05:00;4,48;4,67;4,46;4,65;166800;0,0;0,0
1990-01-17 00:00:00-05:00;4,67;4,7;4,59;4,62;197200;0,0;0,0
1990-01-18 00:00:00-05:00;4,59;4,62;4,54;4,62;265200;0,0;0,0
1990-01-19 00:00:00-05:00;4,62;4,62;4,57;4,59;346800;0,0;0,0
1990-01-22 00:00:00-05:00;4,62;4,62;4,54;4,54;206800;0,0;0,0
1990-01-23 00:00:00-05:00;4,57;4,76;4,43;4,73;504800;0,0;0,0
1990-01-24 00:00:00-05:00;4,73;4,73;4,57;4,7;660400;0,0;0,0
1990-01-25 00:00:00-05:00;4,67;4,76;4,65;4,65;510400;0,0;0,0
1990-01-26 00:00:00-05:00;4,65;4,67;4,59;4,62;291600;0,0;0,0
1990-01-29 00:00:00-05:00;4,65;4,7;4,54;4,65;417600;0,0;0,0
1990-01-30 00:00:00-05:00;4,62;4,65;4,59;4,62;309600;0,0;0,0
1990-01-31 00:00:00-05:00;4,65;4,7;4,59;4,65;522000;0,0;0,0
1990-02-01 00:00:00-05:00;4,65;4,67;4,54;4,59;787600;0,0;0,0
1990-02-02 00:00:00-05:00;4,59;4,7;4,59;4,7;210000;0,0;0,0
1990-02-05 00:00:00-05:00;4,7;4,78;4,7;4,76;582800;0,0;0,0
1990-02-06 00:00:00-05:00;4,76;4,76;4,73;4,76;224800;0,0;0,0
1990-02-07 00:00:00-05:00;4,73;4,87;4,73;4,81;650000;0,0;0,0
1990-02-08 00:00:00-05:00;4,84;4,89;4,81;4,84;331600;0,0;0,0
1990-02-09 00:00:00-05:00;4,87;4,89;4,87;4,89;224400;0,0;0,0
1990-02-12 00:00:00-05:00;4,89;4,98;4,89;4,98;181600;0,0;0,0
1990-02-13 00:00:00-05:00;4,95;4,98;4,92;4,95;204400;0,0;0,0
1990-02-14 00:00:00-05:00;4,95;5,0;4,95;4,95;228000;0,0;0,0
1990-02-15 00:00:00-05:00;4,95;4,95;4,92;4,95;715600;0,0;0,0
1990-02-16 00:00:00-05:00;4,92;4,95;4,87;4,87;607600;0,0;0,0
1990-02-20 00:00:00-05:00;4,87;4,95;4,87;4,95;354800;0,0;0,0
1990-02-21 00:00:00-05:00;4,95;4,98;4,89;4,89;2998000;0,0;0,0
1990-02-22 00:00:00-05:00;4,78;4,84;4,78;4,81;559200;0,0;0,0
1990-02-23 00:00:00-05:00;4,81;4,81;4,73;4,81;327200;0,0;0,0
1990-02-26 00:00:00-05:00;4,84;4,87;4,81;4,87;212000;0,0;0,0
1990-02-27 00:00:00-05:00;4,87;4,89;4,84;4,84;470000;0,0;0,0
1990-02-28 00:00:00-05:00;4,84;4,95;4,84;4,89;153600;0,0;0,0
1990-03-01 00:00:00-05:00;4,89;4,89;4,84;4,87;247200;0,0;0,0
1990-03-02 00:00:00-05:00;4,87;4,98;4,87;4,98;285600;0,0;0,0
1990-03-05 00:00:00-05:00;4,98;5,03;4,95;5,03;188400;0,0;0,0
1990-03-06 00:00:00-05:00;5,06;5,22;5,03;5,22;295600;0,0;0,0
1990-03-07 00:00:00-05:00;5,22;5,25;5,19;5,19;154000;0,0;0,0
1990-03-08 00:00:00-05:00;5,19;5,25;5,17;5,25;260400;0,0;0,0
1990-03-09 00:00:00-05:00;5,25;5,36;5,25;5,28;160400;0,0;0,0
1990-03-12 00:00:00-05:00;5,28;5,36;5,25;5,25;410800;0,0;0,0
1990-03-13 00:00:00-05:00;5,25;5,25;5,19;5,22;368800;0,0;0,0
1990-03-14 00:00:00-05:00;5,22;5,3;5,22;5,28;162400;0,0;0,0
1990-03-15 00:00:00-05:00;5,28;5,3;5,22;5,22;93200;0,0;0,0
1990-03-16 00:00:00-05:00;5,22;5,25;5,19;5,19;81600;0,0;0,0
1990-03-19 00:00:00-05:00;5,19;5,25;5,19;5,22;119600;0,0;0,0
1990-03-20 00:00:00-05:00;5,25;5,25;5,19;5,22;84000;0,0;0,0
1990-03-21 00:00:00-05:00;5,19;5,19;5,14;5,17;29200;0,0;0,0
1990-03-22 00:00:00-05:00;5,19;5,19;5,06;5,08;95600;0,0;0,0
1990-03-23 00:00:00-05:00;5,06;5,11;5,06;5,11;105200;0,0;0,0
1990-03-26 00:00:00-05:00;5,11;5,14;5,08;5,11;48000;0,0;0,0
1990-03-27 00:00:00-05:00;5,17;5,22;5,17;5,19;100400;0,0;0,0
1990-03-28 00:00:00-05:00;5,25;5,25;5,22;5,22;144800;0,0;0,0
1990-03-29 00:00:00-05:00;5,25;5,25;5,22;5,22;285200;0,0;0,0
1990-03-30 00:00:00-05:00;5,22;5,25;5,17;5,17;169200;0,0;0,0
1990-04-02 00:00:00-04:00;5,17;5,19;5,14;5,17;76000;0,0;0,0
1990-04-03 00:00:00-04:00;5,17;5,19;5,17;5,17;168000;0,0;0,0
1990-04-04 00:00:00-04:00;5,17;5,19;5,14;5,14;60800;0,0;0,0
1990-04-05 00:00:00-04:00;5,14;5,17;5,11;5,14;13200;0,0;0,0
1990-04-06 00:00:00-04:00;5,18;5,21;5,18;5,21;193600;0,0125;0,0
1990-04-09 00:00:00-04:00;5,18;5,18;5,04;5,04;172400;0,0;0,0
1990-04-10 00:00:00-04:00;5,04;5,1;5,04;5,07;46800;0,0;0,0
1990-04-11 00:00:00-04:00;5,1;5,15;5,1;5,15;99600;0,0;0,0
1990-04-12 00:00:00-04:00;5,26;5,48;5,26;5,48;430800;0,0;0,0
1990-04-16 00:00:00-04:00;5,48;5,7;5,48;5,7;454800;0,0;0,0
1990-04-17 00:00:00-04:00;5,7;5,7;5,45;5,48;372400;0,0;0,0
1990-04-18 00:00:00-04:00;5,48;5,51;5,37;5,4;104800;0,0;0,0
1990-04-19 00:00:00-04:00;5,37;5,4;5,07;5,12;715600;0,0;0,0
1990-04-20 00:00:00-04:00;5,12;5,15;5,04;5,04;264000;0,0;0,0
1990-04-23 00:00:00-04:00;5,04;5,07;4,82;4,88;378400;0,0;0,0
1990-04-24 00:00:00-04:00;4,88;4,88;4,77;4,79;392000;0,0;0,0
1990-04-25 00:00:00-04:00;4,82;4,82;4,77;4,77;156000;0,0;0,0
1990-04-26 00:00:00-04:00;4,79;4,79;4,74;4,79;664400;0,0;0,0
1990-04-27 00:00:00-04:00;4,79;4,82;4,74;4,77;113600;0,0;0,0
1990-04-30 00:00:00-04:00;4,71;4,77;4,71;4,77;157200;0,0;0,0
1990-05-01 00:00:00-04:00;4,79;4,79;4,74;4,77;146400;0,0;0,0
1990-05-02 00:00:00-04:00;4,77;4,77;4,71;4,74;58400;0,0;0,0
1990-05-03 00:00:00-04:00;4,77;4,85;4,74;4,85;164000;0,0;0,0
1990-05-04 00:00:00-04:00;4,82;4,85;4,77;4,79;61200;0,0;0,0
1990-05-07 00:00:00-04:00;4,79;4,79;4,77;4,79;63200;0,0;0,0
1990-05-08 00:00:00-04:00;4,77;4,79;4,74;4,77;116400;0,0;0,0
1990-05-09 00:00:00-04:00;4,77;4,79;4,74;4,79;40000;0,0;0,0
1990-05-10 00:00:00-04:00;4,77;4,79;4,74;4,79;190000;0,0;0,0
1990-05-11 00:00:00-04:00;4,82;4,93;4,82;4,88;146000;0,0;0,0
1990-05-14 00:00:00-04:00;4,93;4,96;4,9;4,9;160400;0,0;0,0
1990-05-15 00:00:00-04:00;4,9;4,96;4,85;4,88;81200;0,0;0,0
1990-05-16 00:00:00-04:00;4,85;4,88;4,79;4,79;87600;0,0;0,0
1990-05-17 00:00:00-04:00;4,79;4,82;4,77;4,79;130400;0,0;0,0
1990-05-18 00:00:00-04:00;4,79;4,85;4,79;4,82;44400;0,0;0,0
1990-05-21 00:00:00-04:00;4,82;4,85;4,82;4,85;158400;0,0;0,0
1990-05-22 00:00:00-04:00;4,82;5,26;4,82;5,23;677600;0,0;0,0
1990-05-23 00:00:00-04:00;5,23;5,23;5,12;5,12;206000;0,0;0,0
1990-05-24 00:00:00-04:00;5,12;5,15;5,01;5,01;76400;0,0;0,0
1990-05-25 00:00:00-04:00;4,99;5,04;4,96;4,96;172400;0,0;0,0
1990-05-29 00:00:00-04:00;4,96;4,99;4,93;4,99;125200;0,0;0,0
1990-05-30 00:00:00-04:00;4,99;5,04;4,96;5,01;124400;0,0;0,0
1990-05-31 00:00:00-04:00;5,04;5,07;5,01;5,04;48400;0,0;0,0
1990-06-01 00:00:00-04:00;5,1;5,15;5,1;5,12;290800;0,0;0,0
1990-06-04 00:00:00-04:00;5,15;5,18;5,12;5,18;145600;0,0;0,0
1990-06-05 00:00:00-04:00;5,18;5,4;5,18;5,34;1157600;0,0;0,0
1990-06-06 00:00:00-04:00;5,34;5,34;5,26;5,26;92800;0,0;0,0
1990-06-07 00:00:00-04:00;5,26;5,29;5,18;5,21;81200;0,0;0,0
1990-06-08 00:00:00-04:00;5,21;5,21;5,12;5,12;42400;0,0;0,0
1990-06-11 00:00:00-04:00;5,12;5,26;5,12;5,26;550000;0,0;0,0
1990-06-12 00:00:00-04:00;5,23;5,23;5,18;5,21;59600;0,0;0,0
1990-06-13 00:00:00-04:00;5,18;5,29;5,18;5,26;400800;0,0;0,0
1990-06-14 00:00:00-04:00;5,21;5,21;5,18;5,18;118800;0,0;0,0
1990-06-15 00:00:00-04:00;5,18;5,18;5,07;5,1;122800;0,0;0,0
1990-06-18 00:00:00-04:00;5,1;5,1;4,96;4,96;46800;0,0;0,0
1990-06-19 00:00:00-04:00;4,96;5,07;4,96;5,07;270400;0,0;0,0
1990-06-20 00:00:00-04:00;5,01;5,04;4,93;4,93;200400;0,0;0,0
1990-06-21 00:00:00-04:00;4,93;4,99;4,88;4,93;198000;0,0;0,0
1990-06-22 00:00:00-04:00;4,96;5,01;4,93;4,93;111600;0,0;0,0
1990-06-25 00:00:00-04:00;4,96;4,96;4,88;4,9;122400;0,0;0,0
1990-06-26 00:00:00-04:00;4,9;4,93;4,88;4,88;58800;0,0;0,0
1990-06-27 00:00:00-04:00;4,85;4,93;4,85;4,93;112800;0,0;0,0
1990-06-28 00:00:00-04:00;4,96;5,01;4,96;4,96;142800;0,0;0,0
1990-06-29 00:00:00-04:00;4,96;4,96;4,88;4,93;167200;0,0;0,0
1990-07-02 00:00:00-04:00;4,93;4,96;4,9;4,93;126800;0,0;0,0
1990-07-03 00:00:00-04:00;4,96;4,99;4,93;4,96;80000;0,0;0,0
1990-07-05 00:00:00-04:00;4,96;4,96;4,88;4,88;139600;0,0;0,0
1990-07-06 00:00:00-04:00;4,85;4,96;4,82;4,93;108400;0,0;0,0
1990-07-09 00:00:00-04:00;4,94;5,0;4,94;4,97;40800;0,0125;0,0
1990-07-10 00:00:00-04:00;4,94;5,02;4,94;5,0;130400;0,0;0,0
1990-07-11 00:00:00-04:00;5,0;5,02;4,94;4,94;73200;0,0;0,0
1990-07-12 00:00:00-04:00;4,94;5,02;4,94;5,0;91600;0,0;0,0
1990-07-13 00:00:00-04:00;5,02;5,22;5,0;5,16;372800;0,0;0,0
1990-07-16 00:00:00-04:00;5,16;5,22;5,13;5,16;108400;0,0;0,0
1990-07-17 00:00:00-04:00;5,13;5,13;5,05;5,08;50000;0,0;0,0
1990-07-18 00:00:00-04:00;5,02;5,08;5,02;5,02;78000;0,0;0,0
1990-07-19 00:00:00-04:00;5,05;5,05;5,02;5,05;42800;0,0;0,0
1990-07-20 00:00:00-04:00;5,02;5,05;4,94;4,94;152400;0,0;0,0
1990-07-23 00:00:00-04:00;4,89;4,89;4,7;4,72;318800;0,0;0,0
1990-07-24 00:00:00-04:00;4,7;4,72;4,53;4,56;160800;0,0;0,0
1990-07-25 00:00:00-04:00;4,56;4,7;4,56;4,64;198800;0,0;0,0
1990-07-26 00:00:00-04:00;4,61;4,64;4,59;4,61;38400;0,0;0,0
1990-07-27 00:00:00-04:00;4,61;4,61;4,56;4,56;156000;0,0;0,0
1990-07-30 00:00:00-04:00;4,56;4,59;4,56;4,59;78000;0,0;0,0
1990-07-31 00:00:00-04:00;4,59;4,59;4,5;4,5;120800;0,0;0,0
1990-08-01 00:00:00-04:00;4,5;4,53;4,5;4,5;188000;0,0;0,0
1990-08-02 00:00:00-04:00;4,48;4,48;4,28;4,42;412800;0,0;0,0
1990-08-03 00:00:00-04:00;4,37;4,37;4,12;4,12;522000;0,0;0,0
