Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
1993-06-03 00:00:00-04:00;7,45;7,51;7,26;7,35;56603000;0,0;0,0
1993-06-04 00:00:00-04:00;7,29;7,35;7,16;7,16;12644400;0,0;0,0
1993-06-07 00:00:00-04:00;7,07;7,13;7,01;7,04;10043800;0,0;0,0
1993-06-08 00:00:00-04:00;7,04;7,07;6,91;6,95;6974600;0,0;0,0
1993-06-09 00:00:00-04:00;6,98;7,13;6,98;7,07;4043200;0,0;0,0
1993-06-10 00:00:00-04:00;7,04;7,07;6,98;7,01;2605400;0,0;0,0
1993-06-11 00:00:00-04:00;7,01;7,1;7,01;7,01;2641600;0,0;0,0
1993-06-14 00:00:00-04:00;7,04;7,07;6,95;6,95;1806200;0,0;0,0
1993-06-15 00:00:00-04:00;7,01;7,01;6,95;6,98;2257600;0,0;0,0
1993-06-16 00:00:00-04:00;6,98;7,01;6,95;7,01;2391600;0,0;0,0
1993-06-17 00:00:00-04:00;7,01;7,07;6,98;7,01;2126800;0,0;0,0
1993-06-18 00:00:00-04:00;7,01;7,01;6,91;6,91;2128600;0,0;0,0
1993-06-21 00:00:00-04:00;6,91;6,91;6,79;6,85;2101000;0,0;0,0
1993-06-22 00:00:00-04:00;6,85;6,95;6,85;6,95;1593600;0,0;0,0
1993-06-23 00:00:00-04:00;6,95;7,01;6,91;6,91;1948000;0,0;0,0
1993-06-24 00:00:00-04:00;6,91;7,04;6,82;7,04;3305200;0,0;0,0
1993-06-25 00:00:00-04:00;7,13;7,16;7,04;7,13;2468000;0,0;0,0
1993-06-28 00:00:00-04:00;7,1;7,26;7,1;7,26;2522600;0,0;0,0
1993-06-29 00:00:00-04:00;7,23;7,26;7,07;7,2;1190800;0,0;0,0
1993-06-30 00:00:00-04:00;7,26;7,32;7,23;7,26;2553800;0,0;0,0
1993-07-01 00:00:00-04:00;7,35;7,38;7,16;7,38;2857800;0,0;0,0
1993-07-02 00:00:00-04:00;7,23;7,23;7,16;7,2;1077200;0,0;0,0
