Date;Open;High;Low;Close;Volume;Dividends;Stock Splits
1990-01-02 00:00:00-05:00;0,94;0,95;0,94;0,95;1587853;0,0;0,0
1990-01-03 00:00:00-05:00;0,95;0,95;0,93;0,93;2120934;0,0;0,0
1990-01-04 00:00:00-05:00;0,93;0,94;0,93;0,93;1936406;0,0;0,0
1990-01-05 00:00:00-05:00;0,93;0,94;0,92;0,93;3701953;0,0;0,0
1990-01-08 00:00:00-05:00;0,93;0,95;0,93;0,94;3476419;0,0;0,0
1990-01-09 00:00:00-05:00;0,94;0,95;0,9;0,9;5128059;0,0;0,0
1990-01-10 00:00:00-05:00;0,9;0,9;0,85;0,87;4836459;0,0;0,0
1990-01-11 00:00:00-05:00;0,87;0,87;0,82;0,83;6895884;0,0;0,0
1990-01-12 00:00:00-05:00;0,82;0,82;0,81;0,82;9761766;0,0;0,0
1990-01-15 00:00:00-05:00;0,82;0,83;0,81;0,83;3608550;0,0;0,0
1990-01-16 00:00:00-05:00;0,82;0,88;0,82;0,87;13882894;0,0;0,0
1990-01-17 00:00:00-05:00;0,86;0,87;0,84;0,84;3583491;0,0;0,0
1990-01-18 00:00:00-05:00;0,84;0,84;0,83;0,84;1478503;0,0;0,0
1990-01-19 00:00:00-05:00;0,84;0,84;0,83;0,84;3118753;0,0;0,0
1990-01-22 00:00:00-05:00;0,84;0,84;0,83;0,83;2433038;0,0;0,0
1990-01-23 00:00:00-05:00;0,83;0,83;0,81;0,81;1874897;0,0;0,0
1990-01-24 00:00:00-05:00;0,8;0,8;0,78;0,8;7248994;0,0;0,0
1990-01-25 00:00:00-05:00;0,81;0,81;0,8;0,8;2699578;0,0;0,0
1990-01-26 00:00:00-05:00;0,8;0,81;0,79;0,8;1278028;0,0;0,0
1990-01-29 00:00:00-05:00;0,81;0,81;0,8;0,8;952256;0,0;0,0
1990-01-30 00:00:00-05:00;0,8;0,8;0,79;0,79;1155009;0,0;0,0
1990-01-31 00:00:00-05:00;0,8;0,8;0,79;0,8;1624303;0,0;0,0
1990-02-01 00:00:00-05:00;0,8;0,82;0,79;0,82;1348650;0,0;0,0
1990-02-02 00:00:00-05:00;0,82;0,86;0,81;0,86;1779216;0,0;0,0
1990-02-05 00:00:00-05:00;0,85;0,88;0,85;0,88;1555959;0,0;0,0
1990-02-06 00:00:00-05:00;0,88;0,88;0,86;0,87;897581;0,0;0,0
1990-02-07 00:00:00-05:00;0,86;0,87;0,83;0,84;1230188;0,0;0,0
1990-02-08 00:00:00-05:00;0,84;0,85;0,8;0,81;2394309;0,0;0,0
1990-02-09 00:00:00-05:00;0,82;0,82;0,81;0,82;826959;0,0;0,0
1990-02-12 00:00:00-05:00;0,82;0,82;0,81;0,81;555863;0,0;0,0
1990-02-13 00:00:00-05:00;0,82;0,83;0,81;0,82;2207503;0,0;0,0
1990-02-14 00:00:00-05:00;0,82;0,83;0,82;0,83;972759;0,0;0,0
1990-02-15 00:00:00-05:00;0,84;0,84;0,83;0,84;1414716;0,0;0,0
1990-02-16 00:00:00-05:00;0,84;0,85;0,83;0,84;1232466;0,0;0,0
1990-02-20 00:00:00-05:00;0,83;0,83;0,82;0,82;4132519;0,0;0,0
1990-02-21 00:00:00-05:00;0,82;0,84;0,82;0,84;1745044;0,0;0,0
1990-02-22 00:00:00-05:00;0,84;0,85;0,83;0,83;1569628;0,0;0,0
1990-02-23 00:00:00-05:00;0,83;0,84;0,82;0,83;608259;0,0;0,0
1990-02-26 00:00:00-05:00;0,84;0,84;0,84;0,84;1995638;0,0;0,0
1990-02-27 00:00:00-05:00;0,85;0,87;0,85;0,86;2603897;0,0;0,0
1990-02-28 00:00:00-05:00;0,85;0,89;0,85;0,87;1546847;0,0;0,0
1990-03-01 00:00:00-05:00;0,87;0,91;0,87;0,89;8661431;0,0;0,0
1990-03-02 00:00:00-05:00;0,9;0,92;0,89;0,92;4137075;0,0;0,0
1990-03-05 00:00:00-05:00;0,92;0,94;0,92;0,93;2795259;0,001536;0,0
1990-03-06 00:00:00-05:00;0,94;0,94;0,92;0,93;1098056;0,0;0,0
1990-03-07 00:00:00-05:00;0,93;0,93;0,91;0,91;3198488;0,0;0,0
1990-03-08 00:00:00-05:00;0,91;0,91;0,89;0,9;633319;0,0;0,0
1990-03-09 00:00:00-05:00;0,89;0,9;0,89;0,9;952256;0,0;0,0
1990-03-12 00:00:00-05:00;0,89;0,92;0,89;0,92;2180166;0,0;0,0
1990-03-13 00:00:00-05:00;0,92;0,94;0,91;0,93;2050313;0,0;0,0
1990-03-14 00:00:00-05:00;0,93;0,93;0,92;0,93;1884009;0,0;0,0
1990-03-15 00:00:00-05:00;0,92;0,94;0,92;0,92;1000097;0,0;0,0
1990-03-16 00:00:00-05:00;0,93;0,93;0,93;0,93;1521788;0,0;0,0
1990-03-19 00:00:00-05:00;0,92;0,94;0,92;0,94;2843100;0,0;0,0
1990-03-20 00:00:00-05:00;0,93;0,94;0,93;0,94;9866559;0,0;0,0
1990-03-21 00:00:00-05:00;0,94;0,94;0,93;0,93;1027434;0,0;0,0
1990-03-22 00:00:00-05:00;0,93;0,93;0,92;0,92;674325;0,0;0,0
1990-03-23 00:00:00-05:00;0,93;0,93;0,91;0,92;1075275;0,0;0,0
1990-03-26 00:00:00-05:00;0,92;0,92;0,91;0,91;236925;0,0;0,0
1990-03-27 00:00:00-05:00;0,91;0,93;0,91;0,93;1628859;0,0;0,0
1990-03-28 00:00:00-05:00;0,92;0,93;0,92;0,92;631041;0,0;0,0
1990-03-29 00:00:00-05:00;0,92;0,93;0,91;0,92;1184625;0,0;0,0
1990-03-30 00:00:00-05:00;0,92;0,93;0,92;0,93;765450;0,0;0,0
1990-04-02 00:00:00-04:00;0,92;0,93;0,92;0,92;323494;0,0;0,0
1990-04-03 00:00:00-04:00;0,92;0,94;0,92;0,93;2708691;0,0;0,0
1990-04-04 00:00:00-04:00;0,93;0,93;0,92;0,92;380447;0,0;0,0
1990-04-05 00:00:00-04:00;0,93;0,93;0,92;0,92;6597450;0,0;0,0
1990-04-06 00:00:00-04:00;0,93;0,93;0,92;0,92;4303378;0,0;0,0
1990-04-09 00:00:00-04:00;0,92;0,93;0,92;0,93;512578;0,0;0,0
1990-04-10 00:00:00-04:00;0,92;0,95;0,92;0,95;4064175;0,0;0,0
1990-04-11 00:00:00-04:00;0,94;0,98;0,94;0,98;4091513;0,0;0,0
1990-04-12 00:00:00-04:00;0,98;0,99;0,98;0,98;3480975;0,0;0,0
1990-04-16 00:00:00-04:00;0,98;0,99;0,96;0,96;1234744;0,0;0,0
1990-04-17 00:00:00-04:00;0,96;0,97;0,95;0,96;2052591;0,0;0,0
1990-04-18 00:00:00-04:00;0,96;0,96;0,94;0,95;1006931;0,0;0,0
1990-04-19 00:00:00-04:00;0,95;0,95;0,94;0,94;888469;0,0;0,0
1990-04-20 00:00:00-04:00;0,94;0,94;0,93;0,93;544472;0,0;0,0
1990-04-23 00:00:00-04:00;0,93;0,94;0,91;0,91;1405603;0,0;0,0
1990-04-24 00:00:00-04:00;0,92;0,93;0,91;0,91;3524259;0,0;0,0
1990-04-25 00:00:00-04:00;0,92;0,94;0,92;0,94;2745141;0,0;0,0
1990-04-26 00:00:00-04:00;0,94;0,96;0,94;0,95;858853;0,0;0,0
1990-04-27 00:00:00-04:00;0,95;0,95;0,93;0,93;2198391;0,0;0,0
1990-04-30 00:00:00-04:00;0,93;0,93;0,92;0,93;1540013;0,0;0,0
1990-05-01 00:00:00-04:00;0,93;0,96;0,93;0,95;3262275;0,0;0,0
1990-05-02 00:00:00-04:00;0,95;0,97;0,95;0,97;808734;0,0;0,0
1990-05-03 00:00:00-04:00;0,98;1,01;0,98;0,99;5046047;0,0;0,0
1990-05-04 00:00:00-04:00;1,0;1,0;0,99;1,0;3451359;0,0;0,0
1990-05-07 00:00:00-04:00;1,0;1,01;1,0;1,01;2667684;0,0;0,0
1990-05-08 00:00:00-04:00;1,01;1,06;1,0;1,04;6510881;0,0;0,0
